image,factor,downsample,upsample,PSNR_dB,SSIM
astronaut,4,max,nn,17.74,0.6797
astronaut,4,max,bilinear,18.54,0.711
astronaut,4,max,bicubic,18.38,0.7214
astronaut,4,average,nn,23.39,0.7836
astronaut,4,average,bilinear,24.56,0.809
astronaut,4,average,bicubic,25.57,0.8391
astronaut,4,median,nn,22.9,0.7856
astronaut,4,median,bilinear,24.64,0.8195
astronaut,4,median,bicubic,25.21,0.8401
astronaut,8,max,nn,13.61,0.4996
astronaut,8,max,bilinear,14.23,0.5298
astronaut,8,max,bicubic,14.07,0.5387
astronaut,8,average,nn,20.12,0.5932
astronaut,8,average,bilinear,20.99,0.6413
astronaut,8,average,bicubic,21.75,0.6699
astronaut,8,median,nn,19.48,0.6133
astronaut,8,median,bilinear,21.02,0.6664
astronaut,8,median,bicubic,21.33,0.6794
camera,4,max,nn,19.24,0.6838
camera,4,max,bilinear,19.83,0.6929
camera,4,max,bicubic,19.68,0.6944
camera,4,average,nn,25.16,0.75
camera,4,average,bilinear,25.67,0.7446
camera,4,average,bicubic,26.37,0.7625
camera,4,median,nn,24.65,0.75
camera,4,median,bilinear,25.75,0.7503
camera,4,median,bicubic,26.11,0.762
camera,8,max,nn,15.54,0.5707
camera,8,max,bilinear,16.07,0.5825
camera,8,max,bicubic,15.86,0.5738
camera,8,average,nn,22.39,0.6313
camera,8,average,bilinear,22.85,0.6437
camera,8,average,bicubic,23.25,0.6508
camera,8,median,nn,21.85,0.6413
camera,8,median,bilinear,22.78,0.6528
camera,8,median,bicubic,22.86,0.6505
checkerboard,4,max,nn,11.14,0.6551
checkerboard,4,max,bilinear,12.62,0.6345
checkerboard,4,max,bicubic,12.62,0.6481
checkerboard,4,average,nn,15.33,0.7076
checkerboard,4,average,bilinear,17.12,0.6621
checkerboard,4,average,bicubic,18.6,0.7331
checkerboard,4,median,nn,14.85,0.728
checkerboard,4,median,bilinear,17.23,0.7078
checkerboard,4,median,bicubic,18.22,0.7823
checkerboard,8,max,nn,6.97,0.4539
checkerboard,8,max,bilinear,8.08,0.4021
checkerboard,8,max,bicubic,8.14,0.4196
checkerboard,8,average,nn,11.4,0.4003
checkerboard,8,average,bilinear,12.71,0.3471
checkerboard,8,average,bicubic,13.88,0.4467
checkerboard,8,median,nn,10.33,0.5054
checkerboard,8,median,bilinear,12.54,0.4568
checkerboard,8,median,bicubic,12.94,0.5453
